INaCa,INaK,IClb,ICaL,Itos,IK1,IKs,IKr,group,APD90,sharpness,width,amplitude
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NR,167.0,125.0,266,0.9
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NR,168.0,125.0,266,0.9
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NR,170.0,125.0,266,0.9
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NR,171.0,125.0,266,0.9
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NR,174.0,125.0,266,0.9
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NR,176.0,125.0,266,0.9
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NR,180.0,125.0,266,0.9
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NR,184.0,125.0,266,0.9
0.08551248194137,0.005941417841546,0.00773489161873,0.06694912292352,0.05529366286432,0.3759290733627,0.0967479938771,0.0029662726021609,HR,189.0,125.0,266,0.9
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NR,194.0,125.0,266,0.9
0.08551248194137,0.005941417841546,0.00773489161873,0.06694912292352,0.05529366286432,0.3759290733627,0.0967479938771,0.0029662726021609,HR,200.0,125.0,266,0.9
0.08551248194137,0.005941417841546,0.00773489161873,0.06694912292352,0.05529366286432,0.3759290733627,0.0967479938771,0.0029662726021609,HR,206.0,125.0,266,0.9
0.08551248194137,0.005941417841546,0.00773489161873,0.06694912292352,0.05529366286432,0.3759290733627,0.0967479938771,0.0029662726021609,HR,210.0,125.0,266,0.9
0.08551248194137,0.005941417841546,0.00773489161873,0.06694912292352,0.05529366286432,0.3759290733627,0.0967479938771,0.0029662726021609,HR,214.0,125.0,266,0.9
0.08551248194137,0.005941417841546,0.00773489161873,0.06694912292352,0.05529366286432,0.3759290733627,0.0967479938771,0.0029662726021609,HR,218.0,125.0,266,0.9
0.08551248194137,0.005941417841546,0.00773489161873,0.06694912292352,0.05529366286432,0.3759290733627,0.0967479938771,0.0029662726021609,HR,222.0,125.0,266,0.9
