INaCa,INaK,IClb,ICaL,Itos,IK1,IKs,IKr
0.02636067310977,0.008798489050076,0.002466166060671,0.07387190383682,0.06426584668134,0.4679380259041,0.07062096167526,0.003475691628845
0.02614712096367,0.00405597453919,0.002836252959959,0.05643023636401,0.00151661596654,0.5023332470477,0.07040667899708,0.004969439218823
0.2663163702795,0.006087417241441,0.02328597587024,0.4032769508339,0.123111767919,0.4235569505189,0.1740570548746,0.02164293641847
0.005533674665327,0.04543961398015,0.003640998422343,0.059416191345,0.003935944148498,0.357975518129,0.2980388388951,0.005594355622094
0.1699340828306,0.005733442792238,0.01172365127184,0.07361434617243,0.04120460312869,0.5045449588258,0.1336583603086,0.005571549578829
0.008023684302872,0.02895299715274,0.002994308670283,0.06228252640168,0.02171596293666,0.4478691506975,0.115931495286,0.004486281463054
0.008014594469879,0.01050725410683,0.002392615583618,0.07110456145166,0.04819573099402,0.5911044303473,0.07312829555778,0.003998561561753
0.07504463456275,0.06294985651252,0.002919207502405,0.07612790177834,0.05378883087681,0.5234719908665,0.1421065126172,0.003913035880305
0.01199844526522,0.003272060424686,0.001725478286121,0.07044375146085,0.05864231573151,0.3598430672364,0.04986126317545,0.003616539988547
0.02278417246801,0.00514073440728,0.002152568264015,0.06746425141081,0.06522959442106,0.3285605726546,0.04108758887538,0.002825171200792
0.04711951927903,0.01540752488192,0.002879146754404,0.1456042904847,0.0313520987581,0.3312665875019,0.1079039259543,0.009321539410285
0.1463998335535,0.004061039839783,0.01683521398512,0.1170958188944,0.08789312036267,0.291913441993,0.1920880526833,0.007653902586711
0.02434137979124,0.002337234401086,0.001070376822095,0.0543878049769,0.0002746916236599,0.3116278886589,0.1842697195628,0.005512572729455
0.07905695224901,0.002693401316519,0.005622474471682,0.0672238741641,0.00221544033701,0.3680304862864,0.08563940744906,0.007395545471683
0.04806537429226,0.005976811246391,0.007109955780376,0.07326676209696,0.01477297263071,0.3477687590755,0.1594615665464,0.007408917787494
0.4484456946313,0.005179094418215,0.0104680548578,0.06605360184504,0.01679870993741,0.26148876021,0.1154530175255,0.005616846560738
0.1095584514735,0.004291169569826,0.01271758049189,0.05824286693543,0.005052161878444,0.3633432588207,0.1327548219473,0.005276261732766
0.01771592922579,0.00991676303588,0.006531051553971,0.07277102048578,0.04986547764036,0.2855071951751,0.1138432895088,0.004905030794173
0.0711167491434,0.00390860751452,0.008467213544902,0.07310980632052,0.04361166041362,0.3199203552226,0.08346237726175,0.0054538437790039
0.2527912639734,0.006851135823029,0.03113980532513,0.07294884807674,0.007687210906835,0.2992984430937,0.2237527233295,0.007900395406855
0.00248479293171,0.004732596656477,0.1041998515463,0.09305688606266,0.005353702819333,0.1884520582655,0.2446476724806,0.009808882318772
0.0006054995039454,0.01728333660786,0.8849652246313,4.810725328665,3.005365934937,0.2043193871821,0.5682635048211,0.0107701855974699
0.02472988133949,0.007922703936066,0.008308856077819,0.06321301291105,0.002354834422792,0.3375390137921,0.2833942377891,0.006944748685868
0.06665279005131,0.005868550676862,0.0298026111756,0.07503547188302,0.03300525862398,0.3349562050414,0.1973736942068,0.006082291350152
0.02460011449665,0.007094614166033,0.009752723558042,0.07800673308646,0.003088599372219,0.279552649756,0.2490990824461,0.009985246835464
0.1361284293944,1.20500943877,0.6259052249544,8.307277553603,4.79326050577,0.5788991164237,1.312222385832,0.007876258764294
0.004680348223385,0.002552048654211,0.0009561362389195,0.0524987121821,0.0002525861780719,0.2625806408003,0.4258307862359,0.004676323960905
0.05552375534901,0.009466731568872,0.01705907486118,0.05726607596191,0.03245358568818,0.3304738037612,0.1890260733693,0.003286129179257
0.007413890161923,0.008371713606275,0.00344635320605,0.06021041816402,0.002357339857381,0.3542435870454,0.1733221363139,0.00617790074496
0.01613232014157,0.00718851373662,0.006353245675193,0.06366064459149,0.004467086693519,0.3327602728496,0.1976786713163,0.007163683460193
0.00199721781806,0.008238244220113,0.007421053853381,0.1011221036485,0.001973186812626,0.2776409201754,0.4003068157579,0.01228360636479
0.00809692724514,0.004630714694702,0.002190591761334,0.06390428852547,0.04822806181269,0.3880023298664,0.04215159890655,0.002787286730525
0.01050006329539,0.004791401439603,0.00521158377018,0.06529920159213,0.04470843630405,0.3608320767325,0.07411197501559,0.003550465839158
0.07036725536503,0.00412330379849,0.009687120616148,0.05396363798703,0.01383488689011,0.3174270578244,0.1001192352999,0.0036978279473839
0.01210027279947,0.001359997837033,0.001202678779004,0.0490741014171,0.0008540980847823,0.3302524643088,0.03452106022189,0.003705687275016
0.1057983056447,0.003350059149688,0.008190138051717,0.07784671939278,0.01592231937194,0.360101694805,0.0762209145822,0.008724471923172
0.1042236992276,0.002953965087689,0.00303832673744,0.05327246136392,0.0201401337035,0.3709485009317,0.0398149559157,0.0030476837935989
0.1378198502116,0.001944060209015,0.005308312786691,0.06981067343575,0.05567352830037,0.3059640406139,0.04496342338991,0.003654707902906
0.01216587821975,0.003739701265142,0.00306315566377,0.06680186751707,0.05178194537218,0.329863205317,0.04888240906792,0.003541242894028
0.002068434628589,0.0006934963552649,0.0003755685679697,0.05595905629231,0.0001206224605386,0.3606338714649,0.04137917311074,0.004642595811604
0.003199703935109,0.004147042616134,0.01185166300395,0.08712080217508,0.02586867060848,0.2771723146715,0.1735420996935,0.009180327901337
0.01081402695984,0.003430243382201,0.002420793155319,0.0523155993263,0.0007676057462407,0.4832195395354,0.1877394686034,0.004307473976648
0.006598838170299,0.002655879257069,0.002081477120974,0.05482670043989,0.02753093953841,0.3354210569995,0.03222787662005,0.002804821198823
0.03008278008133,0.01140967142349,0.01312086103962,0.06258592103998,0.04448668132189,0.34474376065,0.1433076997628,0.00330985088954
0.1743724356808,0.00670642893205,0.02092396735018,0.08363598887292,0.03216600260496,0.3420159305468,0.2807623536442,0.008593624618234
0.0379104026045,0.003819231363974,0.01480433490607,0.07866702477795,0.01079968342852,0.2903811998588,0.1567808070181,0.009185862828089
0.3074590316467,0.007278147417265,0.02890324598144,0.07850372837189,0.01710022290969,0.2738209498952,0.2559053682788,0.008305024933056
0.1591152567335,0.007893704681153,0.02776070435641,0.169112216428,0.123113681095,0.3331221704278,0.2777806580913,0.006684416559684
0.02322928633532,0.02977454922021,0.02087853480024,0.1098863639154,0.08513394729734,0.2608445012281,0.3500473470725,0.003449289169583
0.009115884442641,0.02245901053869,0.009738332647932,0.07213437564416,0.07765869597248,0.2376253918683,0.2022938265772,0.0027158780888529
0.03871770353705,0.01734708358155,0.008149672249439,0.05415971509634,0.006066600411277,0.3983968368332,0.2472863234468,0.004269593897951
0.008383136567319,0.002776877171266,0.002198344796294,0.05993538835339,0.0110681971739,0.395162938541,0.0413472048128,0.004365998176475
0.02333314898273,0.002952525800815,0.002989694315884,0.06529276330088,0.0009377003616509,0.3102846543069,0.1201062668711,0.007913504326958
0.001823056204402,0.0009171452272092,0.000400323785606,0.05625641026558,0.0001204621633811,0.3353013909095,0.2419497039204,0.004139182437971
0.258316777249,0.003071286679904,0.008152120115159,0.05657375680295,0.002344821591365,0.3455937612781,0.133899759549,0.005039312003062
0.1146743446706,0.004631477966192,0.008429978017071,0.05845037667589,0.02052297951449,0.3806195187424,0.1005424299921,0.004026114418817
0.2203485785918,0.008937415006473,0.005012343370178,0.05930464220102,0.006039646016586,0.3164711760749,0.171942107608,0.005577397071868
0.009481378653106,0.2195577609347,0.003041107829537,0.0598917967795,0.004699296267508,0.3194823806752,0.1041241493903,0.001961850247964
0.006797394998907,0.01485888750157,0.002086773079953,0.04987604880172,0.001517688818961,0.3455907902291,0.3646295770572,0.003619138144013
0.1407605227978,0.01777634590647,0.007637535620318,0.05492654937888,0.009037395759338,0.4912175323653,0.2755083519719,0.003824694158591
0.01203327082985,0.003020844078441,0.00171839493307,0.06842448060266,0.0375022993616,0.506187502742,0.04024120579306,0.004499790497588
0.03277734474021,0.00244117172164,0.001764099243591,0.07100782013414,0.05063921158724,0.4857347268471,0.03621299583497,0.004252529157399
0.06673226235183,0.002919777380844,0.003066379411167,0.06765911173184,0.05773965418617,0.4478073447567,0.05348830591017,0.003215866279869
0.06009456847211,0.002034452732934,0.001574015914561,0.1063842722047,0.0005092442202717,0.6515384173862,0.08760876739162,0.01306132970839
0.3608477273824,0.004834273189417,0.002715893285426,0.09138323829444,0.04491262607871,0.5417397647181,0.05895631724578,0.008990288103792
0.1475965654817,0.0157727956926,0.004170756235877,0.07814797796976,0.06987733116011,0.4635766531769,0.1460468308147,0.004175742268401
0.006674777621664,0.01380971820458,0.001989794307612,0.05855263831604,0.01620852251653,0.3675887688359,0.05387533676282,0.00467871057597
0.02360540390364,0.00298388235569,0.002587453286071,0.06760885139758,0.03821811167171,0.4685796386541,0.05581769258138,0.004770397175999
0.2941745502961,0.006154655773976,0.005260196579872,0.07410904602708,0.06024152565892,0.7032896191136,0.1770076543828,0.004193586086296
0.006178835217891,0.005864746499137,0.001424636630025,0.06829591532793,0.0637028073202,0.2718021626383,0.02938977630641,0.003159840947186
0.02170715706886,0.002071807789885,0.001761131996996,0.07122361672198,0.05885840033863,0.337608729723,0.03434953702848,0.003396383238728
0.07007281338614,0.007725902047662,0.03627306416236,0.1567170117192,0.05752997212246,0.2711911765769,0.2243292089767,0.007683972215153
0.5076643222287,0.006129677013169,0.02516771147205,0.08228550061704,0.01504938581046,0.3816441603832,0.1282242848071,0.008568212137547
0.002258550400448,0.002692622066118,0.1234224537841,0.09911826149816,0.001017440956075,0.1272957408635,0.2646209638797,0.01064805232489
0.1826031951246,0.004131575852516,0.0636439323223,0.07175620781914,0.01281742637125,0.2409086658625,0.1615430120831,0.006699218173246
0.294716142876,0.006855875787066,0.0115076826855,0.1693784602825,0.1678505504033,0.3794014699719,0.1313246311274,0.0088276650008
0.4472330730229,0.005764094935371,0.02093818949402,0.0825511755154,0.02066590060166,0.2560588616981,0.1540294269739,0.008439730052883
0.4765736868884,0.002995218433186,0.03418507402969,0.0753703872162,0.002123799983141,0.2740312188116,0.1430537084629,0.008937669752785
0.3215310600198,0.004319676576426,0.01517738014629,0.07529546092537,0.0228660064203,0.2942393492092,0.1141713430612,0.007180091390031
0.2578090639096,0.004324341986206,0.02006818629086,0.06517487839369,0.00961641965176,0.3194889174729,0.1267666528912,0.006042033332802
0.04382865880063,0.009881052974316,0.01240278849349,0.06626728502125,0.01328506281665,0.3468488575827,0.2178007046668,0.006136631872465
0.3630681275835,0.004010600150593,0.02635323739228,0.06143761633951,0.008697020533347,0.3096736850614,0.1439199517821,0.005194065077894
0.004464454880388,0.003102074201803,0.0115319471679,0.09721523712924,0.001067086929948,0.2234689710365,0.233638640947,0.01237246225183
0.1046685121424,0.00370876452415,0.004947433926126,0.08009160288895,0.002659660965821,0.3197014436314,0.1028068985013,0.0103364093625799
0.3381885155563,0.003714978509735,0.01518109966469,0.05991787259722,0.003633423505285,0.3745868143853,0.1289677906396,0.005430833047178
0.1252071740049,0.00552552917527,0.05560685423718,0.07258328931564,0.008782890416694,0.3086821495492,0.1932967978299,0.007109692864032
0.2634637721781,0.004193560932585,0.01551087536735,0.0588205086651,0.008163894652158,0.3377256111982,0.1080630103618,0.004872697618074
0.5158784026433,0.003627955158016,0.01003021254081,0.0767386671359,0.005792727217535,0.2975324295464,0.096308484597,0.00842723226551
0.325497134187,0.004214431638361,0.01032053735431,0.06402456993159,0.01425542576382,0.2967982651761,0.1111018325649,0.0057617221318019
0.2631664326879,0.01877708908049,0.05927450593393,0.2018692751633,0.1090931821182,0.3564161841567,0.4012130925355,0.01233551769104
0.1729805882895,0.002234754576632,0.00903875131917,0.05983443372037,0.02107253967533,0.3224151942315,0.0602521368486,0.00442405068945
0.1080799114543,0.002582161891682,0.002321889112483,0.05062664368592,0.003569250043959,0.3535456328524,0.04164737938956,0.003795751554259
0.006163135849583,0.00713922213468,0.001684300812311,0.05771724642466,0.0004662627437684,0.5746229417561,0.327025236083,0.005384638488618
0.01949661363682,0.05940586066151,0.005208402361829,0.07944869562318,0.05361286154143,0.4288150834388,0.2394517574868,0.004953970081882
0.01845389844591,0.004455102859939,0.003051435941067,0.06923877413428,0.05030181874049,0.4046798777694,0.07850293369035,0.00416684857728
0.2129179674754,0.00190512668576,0.003842746605128,0.07537729122615,0.0312081411439,0.4116709624737,0.05034775733745,0.0066582037491479
0.08234954430077,0.01726121149256,0.005011753171078,0.08947545077962,0.06511265502227,0.5371046543991,0.3215526832461,0.006119136203939
0.0102680615174,0.1429176498197,0.003893641564622,0.06857620160586,0.03274828654836,0.4259525303151,0.09127363090735,0.003439591709963
0.1339602422421,0.01358818487896,0.006113332866193,0.07377253448472,0.03415991533945,0.533253671433,0.197494181688,0.006105619275546
